"zone","state","lga","sector","ea","hhid","plotid","doc_id","s11b1q10a","s11b1q10b_1","s11b1q10b_2","s11b1q10b_3","s11b1q10b_4","s11b1q10b_5","s11b1q10b_6"
5,3,308,2,102,39029,1,5,1,1,,,,,
5,3,308,2,102,39029,1,6,1,1,,,,,
5,3,308,2,102,39031,1,3,1,1,,,,,
5,3,309,2,698,39036,2,1,1,1,2,,,,
5,3,309,2,698,39036,2,3,1,1,2,,,,
5,3,309,2,698,39036,2,5,1,1,,,,,
5,3,309,2,698,39037,4,3,1,1,,,,,
5,3,309,2,698,39043,1,3,1,1,,,,,
5,3,316,2,910,39048,1,1,1,1,,,,,
5,3,316,2,910,39048,2,2,1,1,,,,,
5,3,316,2,910,39048,2,7,1,1,,,,,
5,3,316,2,910,39048,3,2,1,1,,,,,
5,3,316,2,910,39048,3,4,1,1,,,,,
5,3,316,2,910,39048,3,6,1,1,,,,,
5,3,316,2,910,39053,1,2,1,2,,,,,
5,3,316,2,910,39053,1,5,1,2,,,,,
5,3,316,2,910,39053,1,6,1,2,,,,,
5,3,317,2,586,39061,2,1,1,1,,,,,
5,3,317,2,586,39061,3,1,1,1,2,3,,,
5,3,317,2,586,39061,5,1,1,1,2,3,,,
5,3,317,2,586,39064,1,2,1,1,,,,,
5,3,317,2,586,39064,1,5,1,1,,,,,
5,3,317,2,586,39064,1,6,1,1,,,,,
5,3,317,2,586,39064,4,2,1,1,,,,,
5,3,317,2,586,39064,4,5,1,1,,,,,
5,3,317,2,586,39064,5,3,1,1,,,,,
5,3,317,2,586,39064,5,5,1,1,,,,,
5,3,317,2,586,39066,1,2,1,10,,,,,
5,3,317,2,586,39066,3,2,1,9,,,,,
5,3,318,2,56,39071,1,2,1,1,,,,,
5,3,318,2,56,39071,2,2,1,1,,,,,
5,3,318,2,56,39071,8,2,1,1,,,,,
5,3,318,2,56,39074,4,2,1,1,,,,,
5,3,318,2,56,39077,3,2,1,1,,,,,
5,3,318,2,56,39078,1,1,1,1,,,,,
5,3,304,2,10,39083,1,5,1,1,,,,,
5,3,304,2,10,39083,2,5,1,1,,,,,
5,3,304,2,184,39096,2,2,1,1,,,,,
5,3,320,2,266,39114,1,3,2,,,,,,
5,3,320,2,266,39114,1,5,2,,,,,,
5,3,320,2,266,39114,2,3,1,1,,,,,
5,3,320,2,266,39114,2,5,1,1,,,,,
5,3,320,2,266,39114,3,3,2,,,,,,
5,3,320,2,266,39114,3,5,2,,,,,,
5,3,320,2,266,39114,4,5,2,,,,,,
5,3,320,2,266,39114,4,6,2,,,,,,
5,3,320,2,266,39114,6,3,2,,,,,,
5,3,320,2,266,39115,1,1,1,1,,,,,
5,3,320,2,266,39115,1,3,1,1,,,,,
5,3,320,2,266,39116,2,2,1,1,,,,,
5,3,326,2,502,39140,3,1,1,1,2,3,,,
5,3,326,2,502,39140,6,1,1,1,2,,,,
5,3,326,2,502,39142,3,1,1,1,2,,,,
5,3,327,2,196,39151,5,1,1,1,,,,,
5,3,327,2,246,39159,1,2,1,1,,,,,
5,3,327,2,246,39159,3,2,1,1,,,,,
5,3,327,2,246,39160,1,1,1,1,,,,,
5,3,327,2,246,39160,3,1,1,1,,,,,
5,3,327,2,246,39160,4,1,1,1,,,,,
5,3,327,2,246,39161,1,1,1,1,2,,,,
5,3,327,2,246,39161,1,3,1,1,2,,,,
5,3,327,2,246,39161,2,1,1,1,2,,,,
5,3,327,2,246,39161,2,3,1,1,2,,,,
5,3,327,2,246,39161,3,1,1,1,2,,,,
5,3,327,2,246,39161,3,3,1,1,2,,,,
5,3,329,2,608,39169,3,2,1,1,,,,,
5,3,329,2,608,39169,3,5,1,1,,,,,
5,3,329,2,608,39169,3,6,1,1,,,,,
5,3,329,2,608,39170,2,2,1,1,,,,,
5,3,329,2,608,39174,1,1,1,1,2,,,,
5,3,316,2,910,39185,1,1,1,1,,,,,
5,3,316,2,910,39185,2,5,1,1,,,,,
5,3,316,2,910,39185,2,6,1,1,,,,,
5,3,316,2,910,39186,1,3,1,1,,,,,
5,3,316,2,910,39186,1,6,1,1,,,,,
5,3,316,2,910,39186,3,3,1,1,,,,,
5,3,316,2,910,39186,4,1,1,1,,,,,
5,3,316,2,910,39186,5,1,1,1,,,,,
5,3,316,2,910,39186,8,1,1,1,,,,,
5,3,317,2,586,39187,1,2,1,1,,,,,
5,3,317,2,586,39187,1,5,1,1,,,,,
5,3,317,2,586,39187,1,6,1,1,,,,,
5,3,304,2,184,39193,1,2,1,1,,,,,
5,3,304,2,184,39193,1,6,1,1,,,,,
5,3,304,2,184,39193,4,2,1,1,,,,,
5,3,304,2,184,39193,4,3,1,1,,,,,
4,4,402,2,1080,40208,2,3,1,1,,,,,
6,24,406,1,0,40210,2,3,1,2,,,,,
4,4,405,2,716,49013,4,1,1,1,,,,,
4,4,405,2,716,49013,4,3,1,1,,,,,
4,4,405,2,716,49015,4,2,1,1,,,,,
4,4,412,1,1562,49037,1,1,1,1,,,,,
4,4,412,1,1562,49038,1,1,1,2,,,,,
4,4,412,1,1562,49038,2,1,1,2,,,,,
4,4,417,1,114,49073,1,2,1,1,,,,,
4,4,417,1,114,49073,1,3,1,1,,,,,
4,4,417,1,114,49073,1,5,1,1,,,,,
4,4,417,1,114,49073,1,6,1,1,,,,,
4,4,420,1,1296,49104,4,1,1,1,,,,,
4,4,407,1,680,49129,1,2,1,1,,,,,
4,4,407,1,680,49129,1,3,1,1,,,,,
4,4,407,1,680,49129,1,5,1,1,,,,,
2,5,513,2,348,50054,3,2,2,,,,,,
2,5,520,2,1756,50163,3,3,1,1,,,,,
2,5,520,2,1756,50166,3,3,1,1,,,,,
2,5,502,1,562,59005,6,2,1,1,,,,,
2,5,502,1,562,59011,1,2,1,1,,,,,
2,5,502,1,562,59011,1,6,1,1,,,,,
2,5,504,2,406,59025,1,3,1,1,,,,,
2,5,504,2,406,59025,2,3,1,1,,,,,
2,5,504,2,406,59025,3,3,2,,,,,,
2,5,504,2,406,59034,1,3,1,1,,,,,
2,5,504,2,406,59034,2,3,1,1,,,,,
2,5,504,2,406,59034,3,3,1,1,,,,,
2,5,504,2,406,59034,4,3,1,1,,,,,
2,5,504,2,406,59035,1,3,1,1,,,,,
2,5,504,2,406,59035,2,3,1,1,,,,,
2,5,504,2,406,59035,3,3,1,1,,,,,
2,5,504,2,1162,59037,1,3,1,1,,,,,
2,5,504,2,1162,59037,2,3,1,1,,,,,
2,5,504,2,1162,59037,3,3,1,1,,,,,
2,5,504,2,1162,59037,4,3,1,1,,,,,
2,5,504,2,1162,59037,5,3,1,1,,,,,
2,5,504,2,1162,59037,6,3,1,1,,,,,
2,5,504,2,1162,59039,1,3,1,1,,,,,
2,5,504,2,1162,59039,2,3,1,1,,,,,
2,5,504,2,1162,59039,3,3,1,1,,,,,
2,5,504,2,1162,59040,1,3,1,1,,,,,
2,5,504,2,1162,59040,2,3,1,1,,,,,
2,5,504,2,1162,59040,3,3,1,1,,,,,
2,5,505,2,1292,59049,1,3,1,1,,,,,
2,5,505,2,1292,59049,2,3,1,1,,,,,
2,5,505,2,1292,59050,1,3,1,1,,,,,
2,5,505,2,1292,59050,2,3,1,1,,,,,
2,5,505,2,1292,59050,3,3,1,1,,,,,
2,5,505,2,1292,59050,4,3,1,1,,,,,
2,5,505,2,1292,59052,1,3,1,1,,,,,
2,5,505,2,1292,59052,3,3,1,1,,,,,
2,5,505,2,1716,59062,1,3,1,1,,,,,
2,5,505,2,1716,59062,2,3,1,1,,,,,
2,5,505,2,1716,59063,1,3,1,1,,,,,
2,5,505,2,1716,59063,2,3,1,1,,,,,
2,5,505,2,1716,59063,3,3,1,1,,,,,
2,5,505,2,1716,59064,1,3,1,1,,,,,
2,5,505,2,1716,59064,2,1,1,1,,,,,
2,5,505,2,1716,59064,3,3,1,1,,,,,
2,5,507,2,230,59092,1,3,1,1,,,,,
2,5,507,2,230,59092,2,8,1,1,,,,,
2,5,507,2,230,59092,3,8,1,1,,,,,
2,5,507,2,230,59092,4,3,1,1,,,,,
2,5,507,2,230,59093,1,3,1,1,,,,,
2,5,507,2,230,59093,2,3,1,1,,,,,
2,5,507,2,230,59093,3,1,1,1,,,,,
2,5,507,2,230,59093,4,3,1,1,,,,,
2,5,507,2,230,59095,3,1,1,1,,,,,
2,5,507,2,230,59095,4,3,1,1,,,,,
2,5,507,2,230,59095,5,3,1,1,,,,,
2,5,509,2,1064,59097,1,3,1,1,,,,,
2,5,509,2,1064,59097,3,3,1,1,,,,,
2,5,509,2,1064,59098,1,1,1,1,,,,,
2,5,509,2,1064,59098,2,1,1,1,,,,,
2,5,509,2,1064,59098,3,3,1,1,,,,,
2,5,509,2,1064,59098,4,3,1,1,,,,,
2,5,509,2,1064,59098,5,3,1,1,,,,,
2,5,509,2,1064,59098,6,3,1,1,,,,,
2,5,509,2,1064,59098,7,3,1,1,,,,,
2,5,509,2,1064,59099,1,3,1,1,,,,,
2,5,509,2,1064,59099,2,3,1,1,,,,,
2,5,509,2,1064,59099,3,3,1,1,,,,,
2,5,508,2,2196,59110,1,3,1,1,,,,,
2,5,508,2,2196,59110,2,3,1,1,,,,,
2,5,508,2,2196,59110,3,3,1,1,,,,,
2,5,508,2,2196,59110,4,3,1,1,,,,,
2,5,508,2,2196,59111,1,3,1,1,,,,,
2,5,508,2,2196,59111,3,3,1,1,,,,,
2,5,508,2,2196,59111,4,3,1,1,,,,,
2,5,508,2,2196,59111,5,3,1,1,,,,,
2,5,508,2,2196,59112,1,3,1,1,,,,,
2,5,508,2,2196,59112,2,3,1,1,,,,,
2,5,508,2,2196,59112,3,3,1,1,,,,,
2,5,508,2,2196,59112,4,3,1,1,,,,,
2,5,511,2,796,59121,1,3,1,1,,,,,
2,5,511,2,796,59121,2,3,1,1,,,,,
2,5,511,2,796,59121,3,3,1,1,,,,,
2,5,511,2,796,59122,1,3,1,1,,,,,
2,5,511,2,796,59122,2,1,1,1,,,,,
2,5,511,2,796,59122,3,1,1,1,,,,,
2,5,511,2,796,59122,4,3,1,1,,,,,
2,5,511,2,796,59122,5,3,1,1,,,,,
2,5,511,2,796,59124,1,3,1,1,,,,,
2,5,511,2,796,59124,2,3,1,1,,,,,
2,5,511,2,796,59124,3,3,1,1,,,,,
2,5,511,2,796,59124,4,3,1,1,,,,,
2,5,511,2,796,59125,1,1,1,1,,,,,
2,5,511,2,796,59125,2,3,1,1,,,,,
2,5,511,2,796,59125,3,1,1,1,,,,,
2,5,511,2,796,59125,4,3,1,1,,,,,
2,5,516,2,134,59145,1,3,1,1,,,,,
2,5,516,2,134,59145,2,3,1,1,,,,,
2,5,516,2,134,59145,3,3,1,1,,,,,
2,5,516,2,134,59145,4,3,1,1,,,,,
2,5,516,2,134,59147,1,3,1,1,,,,,
2,5,516,2,134,59147,2,3,1,1,,,,,
2,5,516,2,134,59147,3,3,1,1,,,,,
2,5,516,2,134,59147,4,3,1,1,,,,,
2,5,516,2,134,59148,1,3,1,1,,,,,
2,5,516,2,134,59148,2,3,1,1,,,,,
2,5,516,2,134,59148,3,3,1,1,,,,,
2,5,517,2,1424,59158,1,1,1,1,,,,,
2,5,518,2,2802,59182,3,2,1,1,,,,,
2,5,518,2,2802,59182,4,2,1,1,,,,,
2,5,518,2,2802,59182,5,2,1,1,,,,,
2,5,518,2,2802,59184,1,2,1,1,,,,,
2,5,518,2,2802,59184,2,2,1,1,,,,,
2,5,518,2,2802,59184,3,2,1,1,,,,,
5,6,608,1,0,60032,1,1,1,1,,,,,
5,6,608,1,0,60032,1,3,1,1,,,,,
5,6,608,1,0,60032,1,5,1,1,,,,,
5,6,607,2,1892,60034,2,4,1,1,,,,,
5,6,607,2,1892,60037,1,3,1,3,4,,,,
5,6,607,2,1892,60037,1,5,2,,,,,,
5,6,607,2,1892,60037,1,6,2,,,,,,
5,6,607,2,1892,60037,3,1,1,1,3,4,,,
5,6,607,2,1892,60037,3,3,1,1,3,4,,,
5,6,607,2,1892,60037,3,5,1,1,,,,,
5,6,607,2,1892,60037,3,6,1,1,,,,,
5,6,607,2,1892,60038,3,1,2,,,,,,
5,6,607,2,1892,60038,3,3,2,,,,,,
5,6,607,2,1892,60038,3,5,2,,,,,,
5,6,605,2,162,60051,3,2,2,,,,,,
5,6,605,2,162,60055,1,3,2,,,,,,
5,6,605,2,162,60055,1,5,2,,,,,,
5,6,605,2,162,60055,2,3,1,2,,,,,
5,6,605,2,162,60055,2,5,1,2,,,,,
5,6,608,2,1288,69037,9,3,2,,,,,,
5,6,608,2,1288,69038,8,6,1,1,,,,,
5,6,608,2,1288,69042,4,3,1,2,,,,,
1,7,708,2,754,70011,1,3,2,,,,,,
1,7,708,2,754,70011,2,3,2,,,,,,
1,7,708,2,754,70012,1,3,1,1,,,,,
1,7,708,2,754,70012,3,3,2,,,,,,
1,7,708,2,754,70013,2,3,1,1,,,,,
1,7,713,2,304,70155,1,7,1,1,,,,,
1,7,713,2,304,70156,1,2,1,1,,,,,
1,7,713,2,304,70156,2,2,1,1,,,,,
1,7,701,2,104,79005,5,7,1,1,,,,,
1,7,702,2,954,79021,4,1,1,1,,,,,
1,7,705,1,3834,79038,4,3,2,,,,,,
1,7,718,2,504,79088,1,2,1,1,,,,,
1,7,718,2,504,79095,1,1,1,1,,,,,
1,7,718,2,504,79095,3,1,1,1,,,,,
2,8,821,1,1448,80013,1,2,1,1,,,,,
2,8,821,1,1448,80013,2,1,1,1,,,,,
2,8,821,1,1448,80013,3,1,1,1,,,,,
2,8,821,1,1448,80017,1,2,1,1,,,,,
2,8,821,1,1448,80017,2,2,1,1,,,,,
2,8,821,1,1448,80018,3,2,1,1,,,,,
2,8,821,1,1448,80019,1,1,1,1,3,,,,
2,8,821,1,1448,80020,1,1,1,1,,,,,
2,8,805,2,46,80099,1,3,1,1,,,,,
2,8,805,2,46,80100,1,3,1,1,,,,,
2,8,805,2,46,80100,3,3,1,1,,,,,
2,8,821,1,12,89003,1,3,1,1,,,,,
2,8,821,1,12,89003,2,3,1,1,,,,,
2,8,821,1,12,89006,1,1,1,1,,,,,
2,8,821,1,1628,89016,7,2,2,,,,,,
2,8,821,1,1628,89022,1,3,2,,,,,,
2,8,821,1,1628,89022,2,3,1,1,,,,,
2,8,821,1,1628,89022,3,3,1,1,,,,,
5,9,908,1,0,90006,1,2,1,2,,,,,
5,9,908,1,0,90006,1,5,1,2,,,,,
5,9,908,1,0,90006,1,6,1,2,,,,,
5,9,910,2,370,99043,4,2,1,1,,,,,
5,9,910,2,730,99053,2,8,1,1,,,,,
5,9,913,2,1510,99062,3,8,1,1,,,,,
5,9,917,2,2282,99080,3,3,1,1,,,,,
5,9,910,2,730,99094,2,3,1,1,,,,,
5,10,1018,1,634,100117,1,3,1,1,,,,,
5,10,1018,1,634,100117,1,5,2,,,,,,
5,10,1018,1,634,100117,2,2,1,1,,,,,
5,10,1018,1,634,100117,2,5,1,1,,,,,
5,10,1025,2,1774,100131,1,2,1,1,,,,,
5,10,1025,2,1774,100131,1,5,1,1,,,,,
5,10,1025,2,1774,100131,1,6,1,1,,,,,
5,10,1006,2,474,109023,2,3,1,1,,,,,
5,10,1006,2,474,109023,2,5,1,1,,,,,
5,10,1006,2,474,109023,2,7,1,1,,,,,
5,10,1012,2,428,109049,2,2,1,2,3,,,,
5,10,1013,2,1054,109108,1,2,1,1,,,,,
5,10,1013,2,1054,109108,1,3,1,1,,,,,
5,10,1013,2,1054,109110,1,2,2,,,,,,
5,10,1013,2,1054,109110,1,3,2,,,,,,
5,10,1013,2,1054,109110,2,3,1,1,,,,,
5,10,1013,2,410,109169,1,3,1,2,,,,,
5,10,1013,2,410,109169,2,3,1,2,,,,,
4,11,1104,2,434,110088,1,3,1,1,2,,,,
5,12,1211,1,2856,120001,1,2,1,1,,,,,
5,12,1211,1,2856,120001,3,1,1,1,2,,,,
5,12,1211,1,2856,120005,1,3,1,1,,,,,
5,12,1211,1,2856,120005,2,3,1,1,,,,,
5,12,1208,2,526,120042,1,5,1,1,,,,,
5,12,1201,2,320,129006,1,3,1,2,3,,,,
5,12,1203,1,334,129021,2,2,1,1,,,,,
5,12,1208,2,76,129038,3,3,1,1,,,,,
5,12,1208,2,630,129054,5,2,1,7,,,,,
5,12,1211,1,446,129088,1,6,1,1,,,,,
5,12,1211,1,1250,129098,1,2,1,1,,,,,
5,12,1212,1,2598,129110,1,2,2,,,,,,
5,12,1212,1,2598,129110,1,3,2,,,,,,
5,12,1212,1,2598,129112,1,2,1,1,,,,,
5,12,1218,1,196,129146,2,3,1,1,,,,,
5,12,1218,1,196,129146,3,3,1,1,,,,,
5,12,1218,1,196,129147,4,2,1,1,,,,,
6,13,1307,1,268,130021,1,3,1,1,,,,,
6,13,1307,1,268,130021,1,5,1,1,,,,,
6,13,1307,1,0,130023,1,5,1,1,,,,,
6,13,1307,1,0,130023,1,6,1,1,,,,,
6,13,1307,1,268,130025,3,5,1,1,,,,,
6,13,1307,1,268,130025,3,6,1,1,,,,,
6,13,1303,1,626,130033,1,3,1,1,2,,,,
6,13,1303,1,626,130033,1,5,1,1,2,,,,
6,13,1303,1,626,130033,1,6,1,1,2,,,,
6,13,1303,1,626,130034,3,6,1,1,2,,,,
6,13,1303,1,626,130038,2,3,1,1,,,,,
6,13,1303,1,626,130038,2,6,1,1,,,,,
6,13,1309,2,0,130053,1,1,1,1,,,,,
6,13,1309,2,0,130053,1,3,1,1,,,,,
6,13,1309,2,674,130055,1,3,1,1,,,,,
6,13,1309,2,674,130055,2,3,1,1,,,,,
6,13,1309,2,674,130055,2,6,1,1,,,,,
6,13,1309,1,0,130059,1,1,1,1,,,,,
6,13,1309,1,0,130059,1,3,1,1,,,,,
6,13,1309,1,0,130059,2,3,1,1,,,,,
6,13,1309,1,0,130059,2,6,1,1,,,,,
6,13,1301,1,688,139010,1,2,1,1,,,,,
6,13,1301,1,688,139010,1,3,1,1,,,,,
6,13,1301,1,688,139010,1,5,1,1,,,,,
6,13,1301,1,688,139010,1,6,1,1,,,,,
6,13,1301,1,688,139011,1,2,1,1,,,,,
6,13,1301,1,688,139011,1,3,1,1,,,,,
6,13,1301,1,688,139011,1,5,1,1,,,,,
6,13,1301,1,688,139012,1,2,1,1,,,,,
6,13,1301,1,688,139012,1,3,1,1,,,,,
6,13,1301,1,688,139012,1,5,1,1,,,,,
6,13,1303,1,80,139015,1,3,1,1,,,,,
6,13,1303,1,80,139015,1,5,1,1,,,,,
6,13,1303,1,80,139015,1,6,1,1,,,,,
6,13,1303,1,80,139021,3,3,1,1,,,,,
6,13,1303,1,80,139021,3,5,1,1,,,,,
6,13,1303,1,80,139022,4,5,1,1,2,,,,
6,13,1303,1,80,139022,4,6,1,1,2,,,,
6,13,1306,1,342,139043,1,2,1,2,,,,,
6,13,1306,1,342,139043,1,3,1,3,,,,,
6,13,1306,1,342,139046,1,1,1,1,,,,,
6,13,1306,1,342,139046,1,3,1,1,,,,,
6,13,1306,1,342,139046,2,1,1,1,,,,,
6,13,1306,1,342,139046,2,3,1,1,,,,,
6,13,1307,1,1002,139053,1,3,1,1,,,,,
6,13,1307,1,1002,139053,1,6,1,1,,,,,
6,13,1307,1,1002,139053,1,7,1,1,,,,,
6,13,1308,1,842,139078,2,6,1,1,,,,,
6,13,1308,1,842,139083,1,6,1,1,,,,,
6,13,1311,1,1134,139086,4,6,1,1,,,,,
6,13,1311,1,1134,139089,2,3,1,1,,,,,
6,13,1311,1,1134,139089,2,5,1,1,,,,,
6,13,1311,1,1134,139093,1,6,1,1,,,,,
6,13,1312,1,24,139096,3,6,1,1,,,,,
6,13,1312,1,24,139103,3,3,1,1,2,3,,,
6,13,1312,1,24,139103,3,6,1,1,2,3,,,
6,13,1316,1,1236,139119,1,3,1,1,,,,,
6,13,1316,1,1236,139121,7,6,1,1,,,,,
6,13,1310,1,762,139148,1,5,1,1,,,,,
6,13,1310,1,762,139150,1,5,1,1,,,,,
6,13,1310,1,762,139150,1,6,1,1,,,,,
6,13,1310,1,762,139152,1,3,1,1,2,,,,
6,13,1310,1,762,139152,1,5,1,1,,,,,
6,13,1310,1,762,139153,3,3,1,1,2,,,,
6,13,1310,1,762,139153,3,5,1,1,2,,,,
6,13,1310,1,762,139153,3,6,1,1,2,,,,
6,13,1310,1,762,139155,1,6,1,1,,,,,
6,13,1310,1,762,139156,1,6,1,1,2,,,,
4,14,1403,1,1418,149061,1,2,1,1,,,,,
4,14,1403,1,1418,149061,1,3,1,1,,,,,
4,14,1403,1,1418,149061,1,5,2,,,,,,
2,15,1506,1,398,150002,2,1,1,1,,,,,
2,15,1506,1,398,150002,3,1,1,1,,,,,
2,15,1506,1,398,150010,1,2,1,1,,,,,
2,15,1508,2,1682,150012,3,1,2,,,,,,
2,15,1508,2,1682,150013,2,1,1,1,,,,,
2,15,1508,2,1682,150017,2,1,1,1,,,,,
2,15,1511,2,1938,150029,1,3,2,,,,,,
1,25,2504,1,0,150071,1,2,1,7,,,,,
1,25,2504,1,0,150071,3,2,1,7,,,,,
2,15,1506,1,148,150077,1,2,1,1,3,,,,
2,15,1506,1,148,150078,1,2,1,1,,,,,
2,15,1508,2,0,150079,1,2,1,1,,,,,
2,15,1506,1,148,150080,1,2,1,1,,,,,
2,15,1503,2,1076,159027,1,4,1,1,,,,,
2,15,1506,1,244,159036,1,1,1,1,,,,,
2,15,1506,1,458,159057,3,2,1,1,,,,,
2,15,1506,1,458,159059,1,3,1,1,,,,,
2,15,1506,1,458,159059,2,3,1,1,,,,,
